,name,type,id
0,上白石萌音,none,a_45
1,福原遥,none,a_44
2,白間美瑠,none,a_43
3,福本莉子,none,a_42
4,齋藤飛鳥,none,a_41
5,向井地美音,none,a_40
6,玉城ティナ,none,a_39
7,桜田ひより,none,a_38
8,吉川愛,none,a_37
9,長濱ねる,none,a_36
10,葵わかな,none,a_35
11,山本美月,none,a_34
12,平祐奈,none,a_33
13,芳根京子,none,a_32
14,夏帆,none,a_31
15,飯豊まりえ,none,a_30
16,井上真央,none,a_29
17,松岡茉優,none,a_28
18,宮崎あおい,none,a_27
19,戸田恵梨香,none,a_26
20,西野七瀬,none,a_25
21,桜井日奈子,none,a_24
22,永野芽衣,none,a_23
23,広瀬アリス,none,a_22
24,大原櫻子,none,a_21
25,浜辺美波,none,a_20
26,小芝風花,none,a_19
27,北乃きい,none,a_18
28,吉岡里帆,none,a_17
29,竹内結子,none,a_16
30,沢尻エリカ,none,a_15
31,のん,none,a_14
32,石田ゆり子,none,a_13
33,深田恭子,none,a_12
34,本田翼,none,a_11
35,川口春奈,none,a_10
36,堀北真希,none,a_9
37,綾瀬はるか,none,a_8
38,白石麻衣,none,a_7
39,長澤まさみ,none,a_6
40,有村架純,none,a_5
41,新垣結衣,none,a_4
42,広瀬すず,none,a_3
43,橋本環奈,none,a_2
44,石原さとみ,none,a_1
